tree,total_branch_length,Nigeria,Nigeria_random,Cameroon,Cameroon_random,Democratic Republic of the Congo,Democratic Republic of the Congo_random,Uganda,Uganda_random,Zambia,Zambia_random,Malawi,Malawi_random,Mozambique,Mozambique_random
50,0.0018781971437203482,0.00010250105270391443,7.652357858281317e-05,1.8259320555747598e-05,1.0223055993029183e-05,9.24058971712991e-05,0.00010540070814928147,6.416236573762507e-05,2.286239173543013e-05,5.3974504220570063e-05,9.414339956351193e-05,2.500397868611371e-05,3.0936854488384635e-05,1.897269575422975e-05,2.4897884789833917e-05
51,0.0019094135041778787,0.00010861683029333513,7.8983697612644e-05,1.8209108177571652e-05,1.4154019208742616e-05,0.00010770357120397757,8.976233524641414e-05,6.0126111021661455e-05,2.6760472252316484e-05,5.1723612924761556e-05,0.00011092200574946759,2.4322879396724726e-05,3.4911207802967425e-05,1.8040664479741612e-05,1.5378260374007647e-05
52,0.0019431526784293223,0.00010244251188489114,5.663521634479687e-05,2.0070166907039475e-05,1.4939837318017277e-05,0.00010648528767040911,0.00011329702498641772,6.29724818415531e-05,2.694153187424121e-05,5.422997574325034e-05,0.00010637412392673672,2.7323349261595227e-05,1.8880858840124868e-05,1.7233802642315204e-05,1.75695428615303e-05
53,0.0019342751592361506,0.00011001132600931799,6.786957299075328e-05,2.102605739923505e-05,1.9419186116789635e-05,9.408492412057968e-05,0.00011713857776793736,6.642323629309113e-05,1.5306609835974557e-05,5.100798795307335e-05,9.976597179211285e-05,2.6213598442143687e-05,2.0724360976068223e-05,2.1591321362163718e-05,5.003137661459224e-06
54,0.0019030628645117665,0.00010921442945098286,6.454307075858131e-05,2.0132678955159635e-05,2.075983367948674e-05,9.285307800250544e-05,0.00010629468659116071,6.543505161168842e-05,1.667215881770911e-05,4.825171222588116e-05,0.00011694032384613161,2.6006668564840935e-05,3.542523837219607e-05,2.269945329646519e-05,1.052912853419458e-05
55,0.0018932397645469938,0.00010308403048043938,7.08292489093596e-05,1.8944651384899917e-05,8.391019358067403e-06,9.480951477984761e-05,0.00010155362035363402,6.970183348096212e-05,3.4614567906985846e-05,4.841170646872699e-05,0.0001326582623889963,2.441984781216609e-05,2.9388641389892353e-05,1.8568010037612508e-05,1.3166288880216192e-05
56,0.001914637256266987,0.000103016066394812,6.099396669138912e-05,1.9486711744292392e-05,1.289009157719092e-05,9.867251255476616e-05,0.00011737287042355889,6.79123385692198e-05,1.0874897395256322e-05,4.620376418084044e-05,0.00010393209582537297,2.6016259236603338e-05,3.567336252479963e-05,1.778876392996521e-05,1.1601492210630083e-05
57,0.0019035658674528288,9.462750323034532e-05,7.332360491786399e-05,2.249590185590027e-05,1.752069358695505e-05,0.00010622862153901219,0.00010902712589026852,6.586199783544986e-05,1.4848841577356229e-05,5.576114516147603e-05,0.00012126647956051573,2.7354720243368685e-05,2.6423981522532983e-05,1.7012332986833046e-05,2.1280018202687878e-05
58,0.0019035248586211123,0.00010212122426544101,7.47575385398355e-05,2.0188412330075876e-05,1.0159182044075163e-05,0.00010985230201785595,0.00010413013032246508,6.0668252188151705e-05,2.2589120562193634e-05,5.225736749286318e-05,0.00010016977581046773,2.613032125622374e-05,5.529641727526906e-05,1.4804218785330987e-05,1.0871904550928922e-05
59,0.0019157557764537658,9.504311313497725e-05,6.773877062118613e-05,1.996623098151967e-05,1.679794341988977e-05,0.0001042825820545244,0.00010111484701988806,6.181257333741016e-05,2.5352230116913125e-05,5.564461361651967e-05,0.00015120549041795967,2.614950374709964e-05,2.7804049288187227e-05,1.7306660678388435e-05,1.3327042443146047e-05
60,0.0018747418461065753,9.269370007571986e-05,4.983407210590318e-05,1.8831958242370838e-05,1.3193352591563687e-05,0.00010619728036337611,8.84979292131102e-05,6.457034941454581e-05,1.2400005381353867e-05,5.3140628527350306e-05,0.0001276045129620202,2.4853951957533446e-05,2.304329499868015e-05,1.8552164920472482e-05,1.0464694461058714e-05
61,0.001911735122210862,9.66661117519081e-05,7.277842087332828e-05,1.9464557109616755e-05,2.0308320257613095e-05,0.00010798181023613605,0.00011511090163993662,7.157262056551152e-05,2.495318970902288e-05,5.711349624789794e-05,9.624024965872451e-05,2.4484508726345085e-05,2.314998807028865e-05,1.942086875478385e-05,1.7805011869551643e-05
62,0.0018966852057868506,9.80451797548982e-05,5.314435959114612e-05,1.8503728073031777e-05,1.9311609839701028e-05,0.0001008790053740197,0.00010220740348215718,6.810413483786595e-05,1.698449492690073e-05,5.2801246678219624e-05,0.00012459968040982308,2.436912544048482e-05,3.813242754778143e-05,2.033267477893853e-05,1.3893054767129698e-05
63,0.0018929328820001985,9.851401620656567e-05,5.9612592616765676e-05,1.853173607282272e-05,1.0529481600739113e-05,0.00010140917846076071,0.00010115968667732652,6.256163300178146e-05,2.4879206342929075e-05,5.4757229093226924e-05,0.00012389080273937994,2.7536835430655307e-05,3.0498594282800818e-05,2.006903632626963e-05,1.4646850026366239e-05
64,0.0019048384898746773,0.0001008926128139838,9.098259607743641e-05,1.860991677754705e-05,1.6430568120232502e-05,0.00010564873607423289,8.50401112818856e-05,6.380799804969577e-05,1.5700007472579198e-05,5.358567312306541e-05,0.00012034504413716072,2.780501463322399e-05,1.7815475942841363e-05,2.0260465612261013e-05,2.1276376367249192e-05
65,0.0018964154726737775,0.00010307030428935741,5.88640660320835e-05,2.1375240586761577e-05,9.964862867169319e-06,9.949081368681566e-05,0.00010545242371566088,6.067549877561895e-05,1.6934527536123208e-05,5.8175659627493406e-05,0.00010767484427350927,2.447326478659641e-05,2.3009980333490217e-05,2.0242128279054656e-05,1.9038712668633826e-05
66,0.0019284666347810842,9.506224162474227e-05,4.335032425672211e-05,2.088880687330704e-05,9.686872324461433e-06,0.00010739905513502805,0.00010025261762086168,6.36951623120773e-05,3.1420810074444475e-05,5.2309656176389215e-05,0.00012470503720508983,2.9691200133680987e-05,2.7859016664959213e-05,2.1816201249442698e-05,1.567365763849738e-05
67,0.0019029093565511137,9.75417805967934e-05,5.8821221286322516e-05,2.009028406293415e-05,1.6038218418798142e-05,0.00010223962208336665,0.00012384573798008332,6.228442154247206e-05,2.3602901854587275e-05,5.658369720879094e-05,0.00011215604832271993,2.5913126206586652e-05,2.887594193174141e-05,2.0536594037120527e-05,1.820701663182364e-05
68,0.001903642667401974,9.765378222304118e-05,5.398066144670331e-05,1.90535425403321e-05,1.2265787433529424e-05,0.0001060630858751954,9.396467307368076e-05,6.171341250854352e-05,2.9864996118716914e-05,5.044217425913505e-05,0.00013740646583627327,2.7553916344103067e-05,2.0321943436826502e-05,1.5818139852218907e-05,1.3913793825108458e-05
69,0.0018537548506149441,9.853925380988362e-05,6.776842649042908e-05,1.8813011909133738e-05,9.233602354896632e-06,0.00010115657922424629,9.747089166126815e-05,6.736859450801568e-05,1.8707671421027902e-05,5.129765553661008e-05,0.00012048293255194418,2.975686005587735e-05,3.4648881864770414e-05,1.5312863716321736e-05,1.6413370726276345e-05
70,0.00188617458948665,0.00010014143311098738,8.108928447526139e-05,1.8556124607997833e-05,9.990221711244068e-06,0.00010149796202498559,0.00011041751849270583,6.721909582057162e-05,1.4304619328775036e-05,5.178501691058832e-05,9.481467443298247e-05,2.969350668823056e-05,4.033113707533004e-05,1.89147152733337e-05,2.8221639508237964e-05
71,0.0018927889103482988,9.165972486821538e-05,4.331836050575663e-05,1.873296873969939e-05,1.6015581615485674e-05,9.823563183533916e-05,0.00010054669533885699,6.829338675126348e-05,1.4749358249927435e-05,4.907837395152093e-05,0.00012185049056673736,2.468650233189017e-05,3.497514627176209e-05,1.7002378490473674e-05,1.6659522858288815e-05
72,0.0019255538404371864,0.00010199754750858745,5.179359560785303e-05,1.8181584784839836e-05,1.0191949789520576e-05,0.00010686295169567268,9.67694549294882e-05,6.543173564798905e-05,3.672400818994191e-05,5.040312355379531e-05,0.00013074971610747463,2.2446486386946095e-05,2.5529209306203275e-05,2.034652051693779e-05,3.636596589000926e-05
73,0.0018676706188117762,0.00010118741875518632,6.187105880905378e-05,1.55856094969202e-05,2.3406205868235124e-05,0.00010300500969707147,9.222428236490394e-05,6.348766247436777e-05,2.2916459938815328e-05,5.072286530966854e-05,9.393512988708575e-05,2.7140623339640037e-05,1.7946008779134992e-05,1.9923694817198384e-05,1.0850737557320522e-05
74,0.0019130021727662623,9.40162340428226e-05,5.994477527009349e-05,1.9507855560568126e-05,4.3906499169309426e-05,0.00010222188053318998,0.00012229313228235444,6.476785740225409e-05,3.1278957407662516e-05,5.223849568688349e-05,9.671416118401223e-05,2.901648624825757e-05,3.822984898379134e-05,1.8454034838483874e-05,1.0368646366785798e-05
75,0.0018967568973877616,9.236504961080555e-05,7.061852838034961e-05,1.911417983122346e-05,1.674837171950546e-05,9.745262656733647e-05,8.035297617622569e-05,6.353405547031049e-05,2.5319843739133457e-05,5.0902489823135416e-05,0.00011346885033874064,2.495724417635398e-05,3.191265787576888e-05,1.584154034685748e-05,2.0456388315305985e-05
